arm,seed,k,incumbent_max_rounds,jitter_scale,flip_applied,flip_time,cap_before,cap_after,healthy_committed,decided_by,healthy_ttfc,healthy_rounds,incumbent_p1_quorums,incumbent_committed,decided_value,nacks_seen_by_healthy
treatment,76,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.426275529233802,2,2,False,incumbent-1,7
treatment,77,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.414172815479832,2,2,False,incumbent-1,7
treatment,78,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4191318914102435,2,2,False,incumbent-1,7
treatment,79,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.422869458738189,2,2,False,incumbent-1,7
treatment,80,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4222916046782412,2,2,False,incumbent-1,7
treatment,81,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4187669946158437,2,2,False,incumbent-1,7
treatment,82,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4226851247076056,2,2,False,incumbent-1,7
treatment,83,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4194224953824595,2,2,False,incumbent-1,7
treatment,84,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4238842122951656,2,2,False,incumbent-1,7
treatment,85,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4175306962447785,2,2,False,incumbent-1,7
treatment,86,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4234590339617714,2,2,False,incumbent-1,7
treatment,87,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4277052975847244,2,2,False,incumbent-1,7
treatment,88,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4075736249448205,2,2,False,incumbent-1,7
treatment,89,5,2,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4133406529128134,2,2,False,incumbent-1,7
treatment,40,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4299557442049533,2,4,False,incumbent-1,7
treatment,41,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.418003696935374,2,4,False,incumbent-1,7
treatment,42,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4062607395878572,2,4,False,incumbent-1,7
treatment,43,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4164038075818794,2,4,False,incumbent-1,7
treatment,44,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.421548889184452,2,4,False,incumbent-1,7
treatment,45,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4314870693950894,2,4,False,incumbent-1,7
treatment,46,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.415966309065789,2,4,False,incumbent-1,7
treatment,47,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4062630295934326,2,4,False,incumbent-1,7
treatment,48,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4238900776068366,2,4,False,incumbent-1,7
treatment,49,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4293487711540003,2,4,False,incumbent-1,7
treatment,50,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4133211965665886,2,4,False,incumbent-1,7
treatment,51,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.410781636765151,2,4,False,incumbent-1,7
treatment,52,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4188843007278518,2,4,False,incumbent-1,7
treatment,53,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4293187517597676,2,4,False,incumbent-1,7
treatment,54,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.425143064596602,2,4,False,incumbent-1,7
treatment,55,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4330666355018806,2,4,False,incumbent-1,7
treatment,56,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.420386656209704,2,4,False,incumbent-1,7
treatment,57,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4096268823798237,2,4,False,incumbent-1,7
treatment,58,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4186601447785208,2,4,False,incumbent-1,7
treatment,59,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.418833792852743,2,4,False,incumbent-1,7
treatment,60,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.405109218886439,2,4,False,incumbent-1,7
treatment,61,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4211323869835013,2,4,False,incumbent-1,7
treatment,62,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4325787012730817,2,4,False,incumbent-1,7
treatment,63,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4146454808673923,2,4,False,incumbent-1,7
treatment,64,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.413729596803236,2,4,False,incumbent-1,7
treatment,65,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4210724991846213,2,4,False,incumbent-1,7
treatment,66,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4225704456865156,2,4,False,incumbent-1,7
treatment,67,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.427995627269727,2,4,False,incumbent-1,7
treatment,68,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.41747922960589,2,4,False,incumbent-1,7
treatment,69,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.432534223901918,2,4,False,incumbent-1,7
treatment,70,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.410859962553358,2,4,False,incumbent-1,7
treatment,71,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4297449518123155,2,4,False,incumbent-1,7
treatment,72,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4211203591307804,2,4,False,incumbent-1,7
treatment,73,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.40924734033276,2,4,False,incumbent-1,7
treatment,74,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4249740708281333,2,4,False,incumbent-1,7
treatment,75,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.406723474672239,2,4,False,incumbent-1,7
treatment,76,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.426275529233802,2,4,False,incumbent-1,7
treatment,77,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.414172815479832,2,4,False,incumbent-1,7
treatment,78,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4191318914102435,2,4,False,incumbent-1,7
treatment,79,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.422869458738189,2,4,False,incumbent-1,7
treatment,80,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4222916046782412,2,4,False,incumbent-1,7
treatment,81,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4187669946158437,2,4,False,incumbent-1,7
treatment,82,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4226851247076056,2,4,False,incumbent-1,7
treatment,83,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4194224953824595,2,4,False,incumbent-1,7
treatment,84,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4238842122951656,2,4,False,incumbent-1,7
treatment,85,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4175306962447785,2,4,False,incumbent-1,7
treatment,86,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4234590339617714,2,4,False,incumbent-1,7
treatment,87,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4277052975847244,2,4,False,incumbent-1,7
treatment,88,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4075736249448205,2,4,False,incumbent-1,7
treatment,89,5,4,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4133406529128134,2,4,False,incumbent-1,7
treatment,40,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4299557442049533,2,8,False,incumbent-1,7
treatment,41,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.418003696935374,2,8,False,incumbent-1,7
treatment,42,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4062607395878572,2,8,False,incumbent-1,7
treatment,43,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4164038075818794,2,8,False,incumbent-1,7
treatment,44,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.421548889184452,2,8,False,incumbent-1,7
treatment,45,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4314870693950894,2,8,False,incumbent-1,7
treatment,46,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.415966309065789,2,8,False,incumbent-1,7
treatment,47,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4062630295934326,2,8,False,incumbent-1,7
treatment,48,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4238900776068366,2,8,False,incumbent-1,7
treatment,49,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4293487711540003,2,8,False,incumbent-1,7
treatment,50,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4133211965665886,2,8,False,incumbent-1,7
treatment,51,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.410781636765151,2,8,False,incumbent-1,7
treatment,52,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4188843007278518,2,8,False,incumbent-1,7
treatment,53,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4293187517597676,2,8,False,incumbent-1,7
treatment,54,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.425143064596602,2,8,False,incumbent-1,7
treatment,55,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4330666355018806,2,8,False,incumbent-1,7
treatment,56,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.420386656209704,2,8,False,incumbent-1,7
treatment,57,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4096268823798237,2,8,False,incumbent-1,7
treatment,58,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4186601447785208,2,8,False,incumbent-1,7
treatment,59,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.418833792852743,2,8,False,incumbent-1,7
treatment,60,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.405109218886439,2,8,False,incumbent-1,7
treatment,61,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4211323869835013,2,8,False,incumbent-1,7
treatment,62,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4325787012730817,2,8,False,incumbent-1,7
treatment,63,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4146454808673923,2,8,False,incumbent-1,7
treatment,64,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.413729596803236,2,8,False,incumbent-1,7
treatment,65,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4210724991846213,2,8,False,incumbent-1,7
treatment,66,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4225704456865156,2,8,False,incumbent-1,7
treatment,67,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.427995627269727,2,8,False,incumbent-1,7
treatment,68,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.41747922960589,2,8,False,incumbent-1,7
treatment,69,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.432534223901918,2,8,False,incumbent-1,7
treatment,70,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.410859962553358,2,8,False,incumbent-1,7
treatment,71,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4297449518123155,2,8,False,incumbent-1,7
treatment,72,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4211203591307804,2,8,False,incumbent-1,7
treatment,73,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.40924734033276,2,8,False,incumbent-1,7
treatment,74,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4249740708281333,2,8,False,incumbent-1,7
treatment,75,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.406723474672239,2,8,False,incumbent-1,7
treatment,76,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.426275529233802,2,8,False,incumbent-1,7
treatment,77,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.414172815479832,2,8,False,incumbent-1,7
treatment,78,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4191318914102435,2,8,False,incumbent-1,7
treatment,79,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.422869458738189,2,8,False,incumbent-1,7
treatment,80,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4222916046782412,2,8,False,incumbent-1,7
treatment,81,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4187669946158437,2,8,False,incumbent-1,7
treatment,82,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4226851247076056,2,8,False,incumbent-1,7
treatment,83,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4194224953824595,2,8,False,incumbent-1,7
treatment,84,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4238842122951656,2,8,False,incumbent-1,7
treatment,85,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4175306962447785,2,8,False,incumbent-1,7
treatment,86,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4234590339617714,2,8,False,incumbent-1,7
treatment,87,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4277052975847244,2,8,False,incumbent-1,7
treatment,88,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4075736249448205,2,8,False,incumbent-1,7
treatment,89,5,8,1.0,True,5.5,"(1,1)","(1,0)",True,incumbent,3.4133406529128134,2,8,False,incumbent-1,7
c1_absent,40,5,1,1.0,False,,,,True,healthy,0.17079496985812703,1,0,False,healthy-1,0
c1_absent,41,5,1,1.0,False,,,,True,healthy,0.19735335782868724,1,0,False,healthy-1,0
c1_absent,42,5,1,1.0,False,,,,True,healthy,0.1785794563894072,1,0,False,healthy-1,0
c1_absent,43,5,1,1.0,False,,,,True,healthy,0.16679855909922026,1,0,False,healthy-1,0
c1_absent,44,5,1,1.0,False,,,,True,healthy,0.18625949242136475,1,0,False,healthy-1,0
c1_absent,45,5,1,1.0,False,,,,True,healthy,0.19676421045934944,1,0,False,healthy-1,0
c1_absent,46,5,1,1.0,False,,,,True,healthy,0.1918571370932849,1,0,False,healthy-1,0
c1_absent,47,5,1,1.0,False,,,,True,healthy,0.18248679997599915,1,0,False,healthy-1,0
c1_absent,48,5,1,1.0,False,,,,True,healthy,0.163909275065798,1,0,False,healthy-1,0
c1_absent,49,5,1,1.0,False,,,,True,healthy,0.18940384708864588,1,0,False,healthy-1,0
c1_absent,50,5,1,1.0,False,,,,True,healthy,0.17638182978482142,1,0,False,healthy-1,0
c1_absent,51,5,1,1.0,False,,,,True,healthy,0.1846048977600505,1,0,False,healthy-1,0
c1_absent,52,5,1,1.0,False,,,,True,healthy,0.17220667856391003,1,0,False,healthy-1,0
c1_absent,53,5,1,1.0,False,,,,True,healthy,0.17894707278149724,1,0,False,healthy-1,0
c1_absent,54,5,1,1.0,False,,,,True,healthy,0.19326341639927058,1,0,False,healthy-1,0
c1_absent,55,5,1,1.0,False,,,,True,healthy,0.2002128808842496,1,0,False,healthy-1,0
c1_absent,56,5,1,1.0,False,,,,True,healthy,0.19210973080001637,1,0,False,healthy-1,0
c1_absent,57,5,1,1.0,False,,,,True,healthy,0.17942800279721105,1,0,False,healthy-1,0
c1_absent,58,5,1,1.0,False,,,,True,healthy,0.18728172632325268,1,0,False,healthy-1,0
c1_absent,59,5,1,1.0,False,,,,True,healthy,0.1793037199909504,1,0,False,healthy-1,0
